,Player,PER
0,Álex Abrines,10.1
1,Quincy Acy,11.8
2,Steven Adams,16.5
3,Arron Afflalo,8.9
4,Alexis Ajinça,12.9
5,Cole Aldrich,12.7
6,LaMarcus Aldridge,18.6
7,Lavoy Allen,11.6
8,Tony Allen,13.3
9,Al-Farouq Aminu,11.3
10,Chris Andersen,11.6
11,Alan Anderson,5.0
12,Justin Anderson,13.9
13,Kyle Anderson,12.5
14,Ryan Anderson,13.5
15,Giannis Antetokounmpo,26.1
16,Carmelo Anthony,17.9
17,Joel Anthony,11.6
18,Trevor Ariza,12.3
19,Darrell Arthur,12.8
20,Ömer Aşık,9.8
21,D.J. Augustin,11.0
22,Luke Babbitt,8.3
23,Ron Baker,7.5
24,Wade Baldwin,6.5
25,Leandro Barbosa,11.5
26,J.J. Barea,17.2
27,Harrison Barnes,16.3
28,Matt Barnes,10.3
29,Will Barton,15.5
30,Brandon Bass,19.7
31,Nicolas Batum,15.8
32,Jerryd Bayless,8.7
33,Aron Baynes,13.1
34,Kent Bazemore,11.6
35,Bradley Beal,20.1
36,Malik Beasley,13.7
37,Michael Beasley,17.8
38,Marco Belinelli,13.3
39,DeAndre' Bembry,8.8
40,Dragan Bender,5.3
41,Anthony Bennett,14.7
42,Ben Bentil,-17.6
43,Dāvis Bertāns,12.9
44,Patrick Beverley,13.0
45,Bismack Biyombo,12.2
46,Nemanja Bjelica,11.0
47,Tarik Black,15.0
48,Eric Bledsoe,20.5
49,Bojan Bogdanović,13.5
50,Andrew Bogut,9.3
51,Joel Bolomboy,19.7
52,Devin Booker,14.6
53,Trevor Booker,15.7
54,Avery Bradley,14.4
55,Corey Brewer,9.1
56,Malcolm Brogdon,14.9
57,Aaron Brooks,9.5
58,Anthony Brown,7.2
59,Bobby Brown,10.8
60,Jaylen Brown,10.3
61,Nicolás Brussino,10.7
62,Reggie Bullock,11.7
63,Trey Burke,10.8
64,Alec Burks,11.6
65,Jimmy Butler,25.1
66,Bruno Caboclo,14.6
67,José Calderón,8.9
68,Kentavious Caldwell-Pope,12.8
69,Isaiah Canaan,8.1
70,Clint Capela,21.4
71,DeMarre Carroll,11.9
72,Vince Carter,11.7
73,Michael Carter-Williams,9.9
74,Omri Casspi,10.0
75,Willie Cauley-Stein,16.3
76,Tyson Chandler,16.6
77,Wilson Chandler,14.9
78,Marquese Chriss,12.3
79,Rakeem Christmas,10.4
80,Semaj Christon,5.7
81,Ian Clark,13.1
82,Jordan Clarkson,13.2
83,Norris Cole,5.4
84,Darren Collison,15.3
85,Nick Collison,12.9
86,Mike Conley,23.2
87,Pat Connaughton,11.8
88,Quinn Cook,11.8
89,DeMarcus Cousins,25.8
90,Robert Covington,13.2
91,Allen Crabbe,11.6
92,Jamal Crawford,12.0
93,Jordan Crawford,17.6
94,Jae Crowder,14.9
95,Dante Cunningham,10.2
96,Seth Curry,15.5
97,Stephen Curry,24.6
98,Troy Daniels,10.4
99,Anthony Davis,27.5
100,Deyonta Davis,10.6
101,Ed Davis,11.5
102,Dewayne Dedmon,16.0
103,Sam Dekker,13.1
104,Malcolm Delaney,7.5
105,Matthew Dellavedova,9.4
106,Luol Deng,10.1
107,DeMar DeRozan,24.0
108,Cheick Diallo,16.8
109,Boris Diaw,9.0
110,Gorgui Dieng,14.2
111,Spencer Dinwiddie,12.7
112,Toney Douglas,10.6
113,Goran Dragić,19.8
114,Andre Drummond,20.9
115,Jared Dudley,10.6
116,Mike Dunleavy,10.1
117,Kris Dunn,8.1
118,Kevin Durant,27.6
119,Jarell Eddie,9.7
120,Henry Ellenson,7.5
121,Wayne Ellington,12.6
122,Monta Ellis,9.9
123,Joel Embiid,24.1
124,James Ennis III,10.6
125,Tyler Ennis,10.9
126,Tyreke Evans,15.5
127,Dante Exum,8.5
128,Kenneth Faried,20.3
129,Jordan Farmar,14.4
130,Derrick Favors,15.8
131,Kay Felder,11.4
132,Cristiano Felício,15.3
133,Raymond Felton,10.9
134,Yogi Ferrell,13.1
135,Dorian Finney-Smith,7.7
136,Bryn Forbes,5.9
137,Evan Fournier,13.9
138,Randy Foye,7.3
139,Tim Frazier,12.4
140,Enes Freedom,23.7
141,Channing Frye,15.6
142,Danilo Gallinari,17.4
143,Langston Galloway,10.4
144,Patricio Garino,-9.2
145,Marc Gasol,20.3
146,Pau Gasol,20.2
147,Rudy Gay,17.9
148,Michael Gbinije,-2.1
149,Alonzo Gee,3.1
150,Paul George,20.2
151,Marcus Georges-Hunt,10.2
152,Jonathan Gibson,9.5
153,Taj Gibson,15.0
154,Manu Ginóbili,13.9
155,Rudy Gobert,23.3
156,Archie Goodwin,18.7
157,Aaron Gordon,14.5
158,Eric Gordon,13.2
159,Marcin Gortat,15.4
160,Treveon Graham,10.6
161,Jerami Grant,10.1
162,Jerian Grant,13.2
163,Danny Green,10.1
164,Draymond Green,16.5
165,Gerald Green,11.9
166,JaMychal Green,13.5
167,Jeff Green,10.5
168,Blake Griffin,22.6
169,Justin Hamilton,13.6
170,A.J. Hammons,8.4
171,Tim Hardaway Jr.,15.2
172,James Harden,27.4
173,Maurice Harkless,13.1
174,Justin Harper,4.9
175,Montrezl Harrell,19.2
176,Devin Harris,13.8
177,Gary Harris,16.5
178,Joe Harris,9.0
179,Manny Harris,-2.2
180,Tobias Harris,16.9
181,Aaron Harrison,-2.2
182,Andrew Harrison,8.7
183,Udonis Haslem,8.8
184,Spencer Hawes,15.6
185,Gordon Hayward,22.2
186,Gerald Henderson,10.8
187,John Henson,15.3
188,Juancho Hernangómez,13.4
189,Willy Hernangómez,19.0
190,Mario Hezonja,7.2
191,Roy Hibbert,13.5
192,Buddy Hield,11.8
193,Nenê,18.9
194,George Hill,19.3
195,Jordan Hill,5.5
196,Solomon Hill,8.0
197,Darrun Hilliard,5.9
198,Jrue Holiday,17.1
199,Justin Holiday,12.7
200,Rondae Hollis-Jefferson,13.7
201,Richaun Holmes,18.6
202,Rodney Hood,12.4
203,Al Horford,17.7
204,Danuel House Jr.,12.2
205,Dwight Howard,20.8
206,Marcelo Huertas,9.1
207,Josh Huestis,26.1
208,Kris Humphries,13.6
209,R.J. Hunter,-3.2
210,Serge Ibaka,16.4
211,Andre Iguodala,14.3
212,Ersan İlyasova,14.6
213,Joe Ingles,12.4
214,Brandon Ingram,8.5
215,Kyrie Irving,23.0
216,Jarrett Jack,7.7
217,Demetrius Jackson,30.8
218,Pierre Jackson,13.0
219,Reggie Jackson,14.9
220,LeBron James,27.0
221,Al Jefferson,18.9
222,Richard Jefferson,8.3
223,John Jenkins,17.3
224,Brandon Jennings,12.1
225,Jonas Jerebko,9.3
226,Amir Johnson,15.0
227,Brice Johnson,17.2
228,James Johnson,17.0
229,Joe Johnson,12.8
230,Stanley Johnson,7.2
231,Tyler Johnson,15.9
232,Wesley Johnson,8.4
233,Nikola Jokić,26.3
234,Dahntay Jones,14.7
235,Damian Jones,5.3
236,Derrick Jones Jr.,12.0
237,James Jones,11.1
238,Terrence Jones,16.1
239,Tyus Jones,13.8
240,DeAndre Jordan,21.8
241,Cory Joseph,13.2
242,Frank Kaminsky,13.0
243,Ryan Kelly,7.8
244,Michael Kidd-Gilchrist,14.3
245,Sean Kilpatrick,13.1
246,Brandon Knight,12.4
247,Kyle Korver,12.1
248,Kosta Koufos,13.8
249,Mindaugas Kuzminskas,12.4
250,Skal Labissière,16.8
251,Jeremy Lamb,17.0
252,Nicolás Laprovíttola,8.4
253,Joffrey Lauvergne,12.6
254,Zach LaVine,14.6
255,Ty Lawson,15.4
256,Jake Layman,4.9
257,Courtney Lee,12.2
258,David Lee,18.5
259,Alex Len,15.0
260,Kawhi Leonard,27.6
261,Meyers Leonard,8.9
262,Jon Leuer,14.2
263,Caris LeVert,12.3
264,DeAndre Liggins,7.5
265,Damian Lillard,24.1
266,Jeremy Lin,19.2
267,Shaun Livingston,10.1
268,Shawn Long,24.1
269,Kevon Looney,13.6
270,Brook Lopez,20.4
271,Robin Lopez,14.4
272,Kevin Love,21.1
273,Kyle Lowry,22.9
274,John Lucas III,9.1
275,Timothé Luwawu-Cabarrot,8.5
276,Trey Lyles,9.9
277,Sheldon Mac,10.1
278,Shelvin Mack,10.9
279,Ian Mahinmi,14.1
280,Thon Maker,14.0
281,Boban Marjanović,29.6
282,Jarell Martin,8.7
283,Wesley Matthews,11.9
284,Luc Mbah a Moute,10.2
285,James Michael McAdoo,13.1
286,Patrick McCaw,8.6
287,CJ McCollum,19.9
288,T.J. McConnell,13.7
289,Chris McCullough,15.2
290,K.J. McDaniels,11.5
291,Doug McDermott,10.7
292,JaVale McGee,25.2
293,Rodney McGruder,9.1
294,Ben McLemore,9.8
295,Jordan McRae,9.7
296,Josh McRoberts,9.8
297,Jodie Meeks,13.1
298,Salah Mejri,14.8
299,Jordan Mickey,9.8
300,Khris Middleton,15.0
301,C.J. Miles,13.8
302,Mike Miller,7.6
303,Patty Mills,15.2
304,Elijah Millsap,-3.4
305,Paul Millsap,17.9
306,Nikola Mirotić,14.5
307,Greg Monroe,21.1
308,E'Twaun Moore,12.1
309,Marcus Morris,12.4
310,Markieff Morris,13.7
311,Anthony Morrow,10.1
312,Donatas Motiejūnas,9.1
313,Timofey Mozgov,12.3
314,Emmanuel Mudiay,10.9
315,Shabazz Muhammad,14.9
316,Dejounte Murray,9.6
317,Jamal Murray,11.9
318,Mike Muscala,14.4
319,Larry Nance Jr.,15.7
320,Shabazz Napier,13.6
321,Maurice Ndour,11.3
322,Gary Neal,-4.3
323,Jameer Nelson,11.5
324,Raul Neto,10.7
325,Georges Niang,0.1
326,Andrew Nicholson,5.9
327,Joakim Noah,15.2
328,Nerlens Noel,20.4
329,Lucas Nogueira,15.5
330,Steve Novak,1.3
331,Dirk Nowitzki,17.0
332,Jusuf Nurkić,17.5
333,David Nwaba,12.2
334,Johnny O'Bryant,14.9
335,Kyle O'Quinn,20.5
336,Daniel Ochefu,6.6
337,Jahlil Okafor,14.8
338,Victor Oladipo,13.6
339,Kelly Olynyk,15.3
340,Arinze Onuaku,5.8
341,Chinanu Onuaku,12.3
342,Kelly Oubre Jr.,9.1
343,Zaza Pachulia,16.1
344,Georgios Papagiannis,12.7
345,Jabari Parker,19.1
346,Tony Parker,13.0
347,Chandler Parsons,7.7
348,Lamar Patterson,-1.9
349,Patrick Patterson,10.8
350,Chris Paul,26.2
351,Adreian Payne,14.4
352,Cameron Payne,5.5
353,Elfrid Payton,17.2
354,Gary Payton II,4.5
355,Paul Pierce,5.7
356,Marshall Plumlee,10.9
357,Mason Plumlee,18.1
358,Miles Plumlee,8.4
359,Jakob Poeltl,12.2
360,Otto Porter Jr.,17.3
361,Bobby Portis,14.9
362,Kristaps Porziņģis,17.4
363,Dwight Powell,17.6
364,Norman Powell,14.0
365,Alex Poythress,13.2
366,Ronnie Price,5.9
367,Taurean Prince,9.8
368,Tim Quarterman,10.2
369,Chasson Randle,13.6
370,Julius Randle,16.3
371,Zach Randolph,18.5
372,J.J. Redick,14.8
373,Willie Reed,17.1
374,Josh Richardson,10.7
375,Malachi Richardson,9.6
376,Austin Rivers,11.4
377,Andre Roberson,9.6
378,Brian Roberts,9.8
379,Glenn Robinson III,11.5
380,Thomas Robinson,17.3
381,Sergio Rodríguez,11.1
382,Rajon Rondo,13.6
383,Derrick Rose,17.0
384,Terrence Ross,13.4
385,Terry Rozier,10.9
386,Ricky Rubio,16.8
387,Damjan Rudež,6.3
388,Brandon Rush,6.6
389,D'Angelo Russell,15.3
390,Domantas Sabonis,6.9
391,Larry Sanders,6.5
392,Dario Šarić,12.8
393,Tomáš Satoranský,8.5
394,Dennis Schröder,16.1
395,Luis Scola,13.9
396,Mike Scott,5.9
397,Thabo Sefolosha,11.9
398,Wayne Selden,6.9
399,Kevin Séraphin,14.4
400,Ramon Sessions,12.4
401,Iman Shumpert,9.0
402,Pascal Siakam,11.5
403,Jonathon Simmons,9.9
404,Kyle Singler,5.9
405,Marcus Smart,12.0
406,Ish Smith,14.7
407,J.R. Smith,8.1
408,Jason Smith,13.6
409,Tony Snell,9.7
410,Marreese Speights,17.5
411,Tiago Splitter,15.0
412,Nik Stauskas,9.0
413,Lance Stephenson,9.6
414,Jarnell Stokes,31.5
415,Diamond Stone,-1.2
416,Rodney Stuckey,9.5
417,Jared Sullinger,6.0
418,Edy Tavares,21.3
419,Isaiah Taylor,0.3
420,Jeff Teague,19.2
421,Mirza Teletović,8.8
422,Garrett Temple,11.2
423,Jason Terry,9.1
424,Isaiah Thomas,26.5
425,Lance Thomas,8.4
426,Hollis Thompson,7.9
427,Klay Thompson,17.4
428,Tristan Thompson,15.3
429,Marcus Thornton,10.4
430,Mike Tobey,-0.1
431,Anthony Tolliver,11.1
432,Axel Toupane,6.2
433,Karl-Anthony Towns,25.9
434,P.J. Tucker,10.5
435,Evan Turner,11.4
436,Myles Turner,18.5
437,Beno Udrih,16.2
438,Tyler Ulis,13.0
439,Jarrod Uthoff,13.9
440,Jonas Valančiūnas,20.1
441,Denzel Valentine,7.3
442,Fred VanVleet,10.5
443,Anderson Varejão,9.4
444,Greivis Vásquez,4.1
445,Rashad Vaughn,7.8
446,Noah Vonleh,10.8
447,Nikola Vučević,19.1
448,Sasha Vujačić,8.6
449,Dwyane Wade,18.5
450,Dion Waiters,14.5
451,Kemba Walker,21.3
452,John Wall,23.2
453,T.J. Warren,15.6
454,C.J. Watson,9.3
455,Briante Weber,11.0
456,David West,16.6
457,Russell Westbrook,30.6
458,Okaro White,7.5
459,Isaiah Whitehead,7.6
460,Hassan Whiteside,22.6
461,Andrew Wiggins,16.5
462,C.J. Wilcox,2.9
463,Alan Williams,19.5
464,Deron Williams,14.0
465,Derrick Williams,10.6
466,Lou Williams,21.4
467,Marvin Williams,13.7
468,Reggie Williams,11.7
469,Troy Williams,9.0
470,Kyle Wiltjer,6.7
471,Justise Winslow,8.2
472,Jeff Withey,18.8
473,Christian Wood,15.1
474,Metta World Peace,6.5
475,Brandan Wright,18.6
476,Delon Wright,15.0
477,James Young,10.0
478,Joe Young,11.4
479,Nick Young,14.1
480,Thaddeus Young,14.9
481,Cody Zeller,16.7
482,Tyler Zeller,13.0
483,Stephen Zimmerman,7.3
484,Paul Zipser,6.9
485,Ivica Zubac,17.0
